SES_Score,HealthIndicator,cluster
82.37,25.0,1
61.96,27.0,0
88.82,27.0,1
70.0,28.0,1
35.74,29.0,0
80.0,28.0,1
42.47,30.0,0
47.43,26.0,0
65.28,27.0,0
34.53,26.0,0
82.0,29.0,1
78.94,28.0,1
51.42,28.0,0
86.55,25.0,1
85.32,27.0,1
80.0,26.0,1
75.58,27.0,1
91.29,29.0,1
49.96,29.0,0
54.0,30.0,0
61.82,26.0,0
86.59,27.0,1
80.82,29.0,1
42.07,29.0,0
40.82,29.0,0
80.3,27.0,1
46.82,29.0,0
55.05,29.0,0
93.62,29.0,1
75.25,28.0,1
85.0,29.0,1
60.05,30.0,0
88.86,35.0,1
71.81,29.0,1
94.82,27.0,1
75.57,27.0,1
66.75,25.0,0
54.4,27.0,0
104.18,27.0,1
69.61,29.0,1
88.0,28.0,1
54.49,26.0,0
86.34,27.0,1
61.0,27.0,0
74.37,28.0,1
76.6,28.0,1
53.82,29.0,0
81.0,27.0,1
70.0,26.0,1
92.47,28.0,1
60.22,29.0,0
54.77,27.0,0
43.05,29.0,0
65.18,24.0,0
58.0,28.0,0
102.32,29.0,1
55.4,30.0,0
48.0,26.0,0
68.1,27.0,1
91.51,27.0,1
81.15,27.0,1
78.0,26.0,1
85.3,28.0,1
46.82,27.0,0
77.0,28.0,1
83.39,28.0,1
75.96,28.0,1
56.6,30.0,0
79.67,30.0,1
89.82,24.0,1
75.73,26.0,1
97.65,27.0,1
72.82,28.0,1
93.64,29.0,1
98.0,29.0,1
68.21000000000001,28.0,1
90.18,28.0,1
88.82,27.0,1
65.0,29.0,0
98.91,26.0,1
80.71,29.0,1
85.05,27.0,1
61.0,28.0,0
59.28,29.0,0
46.62,26.0,0
84.7,29.0,1
65.82,29.0,0
76.0,37.0,1
53.0,27.0,0
95.65,25.0,1
64.07,26.0,0
65.0,28.0,0
53.85,28.0,0
41.82,27.0,0
95.0,27.0,1
92.55,30.0,1
95.75,26.0,1
75.79,26.0,1
91.62,24.0,1
52.86,29.0,0
96.57,26.0,1
69.9,29.0,1
84.92,28.0,1
93.3,28.0,1
62.11,27.0,0
63.34,25.0,0
31.93,27.0,0
73.82,28.0,1
51.31,29.0,0
104.0,34.0,1
95.46,29.0,1
79.18,25.0,1
80.79,28.0,1
78.59,27.0,1
36.82,26.0,0
49.4,28.0,0
83.82,30.0,1
46.57,30.0,0
42.42,28.0,0
88.0,29.0,1
82.0,28.0,1
74.33,30.0,1
89.8,28.0,1
57.34,28.0,0
61.17,28.0,0
77.0,29.0,1
50.78,27.0,0
95.82,24.0,1
79.99,27.0,1
28.94,28.0,0
68.0,27.0,1
81.86,28.0,1
67.8,30.0,0
35.82,30.0,0
54.33,29.0,0
69.0,28.0,1
49.74,26.0,0
57.08,28.0,0
48.68,29.0,0
75.4,27.0,1
69.44,28.0,1
80.0,29.0,1
54.82,29.0,0
40.0,29.0,0
87.0,27.0,1
87.75,27.0,1
52.82,26.0,0
84.06,27.0,1
70.22999999999999,32.0,1
65.82,28.0,0
88.82,28.0,1
52.82,29.0,0
53.39,28.0,0
80.58,27.0,1
57.82,26.0,0
42.45,30.0,0
67.09,30.0,0
39.33,29.0,0
95.56,26.0,1
52.78,29.0,0
35.82,29.0,0
66.92,29.0,0
94.53,25.0,1
79.28,24.0,1
74.12,27.0,1
81.72,28.0,1
45.61,29.0,0
94.82,34.0,1
80.0,28.0,1
76.98,26.0,1
82.34,29.0,1
95.41,25.0,1
60.88,25.0,0
93.55,25.0,1
42.32,28.0,0
51.82,25.0,0
83.75,24.0,1
70.71,27.0,1
54.47,27.0,0
82.67,26.0,1
84.83,26.0,1
77.0,28.0,1
82.6,28.0,1
80.16,28.0,1
49.98,29.0,0
72.76,28.0,1
53.0,28.0,0
56.0,29.0,0
74.11,28.0,1
63.0,29.0,0
72.82,27.0,1
94.0,29.0,1
84.66,29.0,1
52.82,27.0,0
90.0,27.0,1
93.28,27.0,1
85.54,27.0,1
53.0,30.0,0
90.0,27.0,1
71.05,29.0,1
82.46,29.0,1
86.0,29.0,1
60.94,35.0,0
85.0,28.0,1
66.48,30.0,0
53.82,30.0,0
86.0,29.0,1
40.79,28.0,0
78.0,28.0,1
71.0,28.0,1
34.71,27.0,0
62.33,28.0,0
57.37,29.0,0
95.0,30.0,1
94.69,26.0,1
101.35,30.0,1
94.05,26.0,1
71.78,28.0,1
91.02,27.0,1
89.0,29.0,1
66.0,29.0,0
69.82,29.0,1
45.0,28.0,0
75.82,28.0,1
33.3,28.0,0
37.34,27.0,0
60.82,27.0,0
90.0,27.0,1
94.4,24.0,1
99.68,25.0,1
80.06,25.0,1
38.48,30.0,0
83.82,28.0,1
89.0,28.0,1
90.82,27.0,1
91.0,29.0,1
100.0,27.0,1
67.0,27.0,0
36.91,30.0,0
81.69,27.0,1
48.91,29.0,0
43.45,28.0,0
45.0,29.0,0
31.55,29.0,0
75.84,26.0,1
56.0,26.0,0
44.3,27.0,0
72.65,28.0,1
67.82,25.0,1
37.09,27.0,0
71.0,30.0,1
93.0,28.0,1
52.14,26.0,0
73.0,30.0,1
36.0,28.0,0
77.82,28.0,1
86.84,25.0,1
77.78,29.0,1
87.92,29.0,1
63.0,26.0,0
74.82,29.0,1
51.17,27.0,0
88.82,28.0,1
39.82,29.0,0
77.82,22.0,1
57.81,28.0,0
55.77,29.0,0
61.98,29.0,0
68.99,28.0,1
91.68,27.0,1
89.0,19.0,1
68.52000000000001,40.0,1
88.0,26.0,1
55.77,27.0,0
45.82,27.0,0
39.44,29.0,0
66.82,29.0,0
64.46000000000001,26.0,0
41.74,28.0,0
84.0,28.0,1
86.0,29.0,1
47.71,26.0,0
90.0,25.0,1
81.81,25.0,1
81.0,29.0,1
60.82,29.0,0
96.06,28.0,1
39.8,28.0,0
67.25999999999999,28.0,0
59.82,27.0,0
80.58,29.0,1
86.0,29.0,1
66.28,27.0,0
53.85,28.0,0
72.82,29.0,1
66.0,25.0,0
58.82,27.0,0
88.0,32.0,1
62.63,28.0,0
48.13,29.0,0
72.0,28.0,1
79.47,29.0,1
68.1,29.0,1
59.56,29.0,0
73.29,24.0,1
97.4,28.0,1
73.83,30.0,1
73.0,27.0,1
75.85,27.0,1
73.82,29.0,1
53.82,30.0,0
53.8,30.0,0
79.27,23.0,1
58.33,26.0,0
80.25,27.0,1
58.32,28.0,0
100.0,28.0,1
65.0,30.0,0
68.1,30.0,1
87.97,23.0,1
81.97,30.0,1
48.48,28.0,0
72.58,24.0,1
70.68,26.0,1
39.52,30.0,0
82.82,26.0,1
63.21,28.0,0
92.64,28.0,1
45.3,30.0,0
94.15,25.0,1
46.8,26.0,0
58.71,28.0,0
62.82,30.0,0
43.06,29.0,0
61.43,27.0,0
65.03,27.0,0
62.11,26.0,0
32.06,28.0,0
73.0,28.0,1
75.0,27.0,1
71.37,28.0,1
79.11,30.0,1
74.69,25.0,1
65.12,27.0,0
33.82,28.0,0
54.0,30.0,0
59.04,27.0,0
38.82,30.0,0
95.0,27.0,1
51.67,28.0,0
39.82,26.0,0
48.11,29.0,0
87.0,24.0,1
75.0,27.0,1
